family_id,model,series,configuration,profile_configuration,training_fraction,training_rows,test_poisson_deviance,manuscript_deviance_5dp,parameters_trainable,parameters_total,parameters_non_trainable,parameters_embedding_trainable,parameters_non_embedding_trainable,flops_train_per_epoch_one_seed,prediction_ensemble_seeds,source_table
hybrid,Transformer+TabM (large),main_sweep_size_ladder,transformer_multicls_tabm_mini_large,transformer_multicls_tabm_mini_large,0.1,404283,0.29218506,0.29219,790777,793113,2336,37696,753081,2756929226084352,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (large),main_sweep_size_ladder,transformer_multicls_tabm_mini_large,transformer_multicls_tabm_mini_large,0.25,1010056,0.291603922,0.29160,790777,793113,2336,37696,753081,6878399180230656,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (large),main_sweep_size_ladder,transformer_multicls_tabm_mini_large,transformer_multicls_tabm_mini_large,0.5,2018631,0.291078628,0.29108,790777,793113,2336,37696,753081,13728950590500864,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (large),main_sweep_size_ladder,transformer_multicls_tabm_mini_large,transformer_multicls_tabm_mini_large,0.75,3026912,0.290798572,0.29080,790777,793113,2336,37696,753081,20579502000771072,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (large),main_sweep_size_ladder,transformer_multicls_tabm_mini_large,transformer_multicls_tabm_mini_large,1.0,4034782,0.290591052,0.29059,790777,793113,2336,37696,753081,27457901181001728,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (tiny),main_sweep_size_ladder,transformer_tokenmoe_tiny,transformer_tokenmoe_tiny,0.05,201985,0.293622002,0.29362,57676,57676,0,52192,5484,237371596800,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (tiny),main_sweep_size_ladder,transformer_tokenmoe_tiny,transformer_tokenmoe_tiny,0.1,404283,0.292793553,0.29279,57676,57676,0,52192,5484,469995761664,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (tiny),main_sweep_size_ladder,transformer_tokenmoe_tiny,transformer_tokenmoe_tiny,0.25,1010056,0.292130259,0.29213,57676,57676,0,52192,5484,1172615688192,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (tiny),main_sweep_size_ladder,transformer_tokenmoe_tiny,transformer_tokenmoe_tiny,0.5,2018631,0.291721718,0.29172,57676,57676,0,52192,5484,2340483944448,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (tiny),main_sweep_size_ladder,transformer_tokenmoe_tiny,transformer_tokenmoe_tiny,0.75,3026912,0.29145594,0.29146,57676,57676,0,52192,5484,3508352200704,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (tiny),main_sweep_size_ladder,transformer_tokenmoe_tiny,transformer_tokenmoe_tiny,1.0,4034782,0.290820305,0.29082,57676,57676,0,52192,5484,4680967888896,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (small),main_sweep_size_ladder,transformer_tokenmoe_small,transformer_tokenmoe_small,0.05,201985,0.293808733,0.29381,130833,130833,0,109216,21617,788416512000,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (small),main_sweep_size_ladder,transformer_tokenmoe_small,transformer_tokenmoe_small,0.1,404283,0.292693264,0.29269,130833,130833,0,109216,21617,1561064693760,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (small),main_sweep_size_ladder,transformer_tokenmoe_small,transformer_tokenmoe_small,0.25,1010056,0.292054215,0.29205,130833,130833,0,109216,21617,3894777569280,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (small),main_sweep_size_ladder,transformer_tokenmoe_small,transformer_tokenmoe_small,0.5,2018631,0.291467479,0.29147,130833,130833,0,109216,21617,7773786808320,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (small),main_sweep_size_ladder,transformer_tokenmoe_small,transformer_tokenmoe_small,0.75,3026912,0.29105426,0.29105,130833,130833,0,109216,21617,11652796047360,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (small),main_sweep_size_ladder,transformer_tokenmoe_small,transformer_tokenmoe_small,1.0,4034782,0.290781942,0.29078,130833,130833,0,109216,21617,15547573616640,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (medium),main_sweep_size_ladder,transformer_tokenmoe_medium,transformer_tokenmoe_medium,0.05,201985,0.293711516,0.29371,396377,396377,0,348266,48111,2646216499200,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (medium),main_sweep_size_ladder,transformer_tokenmoe_medium,transformer_tokenmoe_medium,0.1,404283,0.292799342,0.29280,396377,396377,0,348266,48111,5239508668416,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (medium),main_sweep_size_ladder,transformer_tokenmoe_medium,transformer_tokenmoe_medium,0.25,1010056,0.291868838,0.29187,396377,396377,0,348266,48111,13072309506048,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (medium),main_sweep_size_ladder,transformer_tokenmoe_medium,transformer_tokenmoe_medium,0.5,2018631,0.291449797,0.29145,396377,396377,0,348266,48111,26091694682112,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (medium),main_sweep_size_ladder,transformer_tokenmoe_medium,transformer_tokenmoe_medium,0.75,3026912,0.291139753,0.29114,396377,396377,0,348266,48111,39111079858176,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (medium),main_sweep_size_ladder,transformer_tokenmoe_medium,transformer_tokenmoe_medium,1.0,4034782,0.290796463,0.29080,396377,396377,0,348266,48111,52183389364224,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (large),main_sweep_size_ladder,transformer_tokenmoe_large,transformer_tokenmoe_large,0.05,201985,0.29350289,0.29350,1081075,1081075,0,931402,149673,8446477516800,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (large),main_sweep_size_ladder,transformer_tokenmoe_large,transformer_tokenmoe_large,0.1,404283,0.29263432,0.29263,1081075,1081075,0,931402,149673,16724025483264,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (large),main_sweep_size_ladder,transformer_tokenmoe_large,transformer_tokenmoe_large,0.25,1010056,0.291857649,0.29186,1081075,1081075,0,931402,149673,41725598932992,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (large),main_sweep_size_ladder,transformer_tokenmoe_large,transformer_tokenmoe_large,0.5,2018631,0.291263648,0.29126,1081075,1081075,0,931402,149673,83282268315648,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (large),main_sweep_size_ladder,transformer_tokenmoe_large,transformer_tokenmoe_large,0.75,3026912,0.290967443,0.29097,1081075,1081075,0,931402,149673,124838937698304,5,tab:size_scaling_transformer_fixes
moe,TokenMoE (large),main_sweep_size_ladder,transformer_tokenmoe_large,transformer_tokenmoe_large,1.0,4034782,0.290738308,0.29074,1081075,1081075,0,931402,149673,166564536631296,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (tiny),main_sweep_size_ladder,transformer_tokenmoe_ssl_tiny,transformer_tokenmoe_tiny_selfsup,0.05,201985,0.293496155,0.29350,190836,190836,0,125730,65106,2452252262400,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (tiny),main_sweep_size_ladder,transformer_tokenmoe_ssl_tiny,transformer_tokenmoe_tiny_selfsup,0.1,404283,0.292688366,0.29269,190836,190836,0,125730,65106,4855459479552,5,tab:size_scaling_transformer_fixes
